Type,Layer,Class1,Class2,ActivationPercentage
mlp,10,mmlu,programming,52.996826171875
mlp,10,programming,programming,62.12158203125
mlp,11,empathetic_dialogue,empathetic_dialogue,34.26513671875
mlp,11,empathetic_dialogue,math,20.111083984375
mlp,11,empathetic_dialogue,mmlu,31.024169921875
mlp,11,empathetic_dialogue,programming,29.644775390625
mlp,11,math,math,40.313720703125
mlp,11,math,mmlu,34.14306640625
mlp,11,math,programming,36.376953125
mlp,11,mmlu,mmlu,56.60400390625
mlp,11,mmlu,programming,47.22900390625
mlp,11,programming,programming,57.293701171875
mlp,12,empathetic_dialogue,empathetic_dialogue,35.3515625
mlp,12,empathetic_dialogue,math,24.151611328125
mlp,12,empathetic_dialogue,mmlu,33.074951171875
mlp,12,empathetic_dialogue,programming,31.87255859375
mlp,12,math,math,46.30126953125
mlp,12,math,mmlu,39.849853515625
mlp,12,math,programming,42.376708984375
mlp,12,mmlu,mmlu,58.258056640625
mlp,12,mmlu,programming,50.57373046875
mlp,12,programming,programming,59.930419921875
mlp,13,empathetic_dialogue,empathetic_dialogue,34.356689453125
mlp,13,empathetic_dialogue,math,21.173095703125
mlp,13,empathetic_dialogue,mmlu,31.0302734375
mlp,13,empathetic_dialogue,programming,29.949951171875
mlp,13,math,math,41.876220703125
mlp,13,math,mmlu,35.198974609375
mlp,13,math,programming,37.750244140625
mlp,13,mmlu,mmlu,55.340576171875
mlp,13,mmlu,programming,46.990966796875
mlp,13,programming,programming,56.99462890625
mlp,14,empathetic_dialogue,empathetic_dialogue,37.420654296875
mlp,14,empathetic_dialogue,math,25.5859375
mlp,14,empathetic_dialogue,mmlu,34.814453125
mlp,14,empathetic_dialogue,programming,33.758544921875
mlp,14,math,math,47.16796875
mlp,14,math,mmlu,40.936279296875
mlp,14,math,programming,43.20068359375
mlp,14,mmlu,mmlu,59.53369140625
mlp,14,mmlu,programming,52.05078125
mlp,14,programming,programming,61.34033203125
mlp,15,empathetic_dialogue,empathetic_dialogue,39.398193359375
mlp,15,empathetic_dialogue,math,26.5869140625
mlp,15,empathetic_dialogue,mmlu,36.383056640625
mlp,15,empathetic_dialogue,programming,35.614013671875
mlp,15,math,math,48.077392578125
mlp,15,math,mmlu,41.9921875
mlp,15,math,programming,44.10400390625
mlp,15,mmlu,mmlu,63.17138671875
mlp,15,mmlu,programming,54.754638671875
mlp,15,programming,programming,64.447021484375
mlp,16,empathetic_dialogue,empathetic_dialogue,42.694091796875
mlp,16,empathetic_dialogue,math,27.24609375
mlp,16,empathetic_dialogue,mmlu,38.53759765625
mlp,16,empathetic_dialogue,programming,36.492919921875
mlp,16,math,math,47.027587890625
mlp,16,math,mmlu,41.448974609375
mlp,16,math,programming,42.120361328125
mlp,16,mmlu,mmlu,65.91796875
mlp,16,mmlu,programming,53.7109375
mlp,16,programming,programming,63.0615234375
mlp,17,empathetic_dialogue,empathetic_dialogue,47.44873046875
mlp,17,empathetic_dialogue,math,32.232666015625
mlp,17,empathetic_dialogue,mmlu,43.8720703125
mlp,17,empathetic_dialogue,programming,42.27294921875
mlp,17,math,math,51.580810546875
mlp,17,math,mmlu,46.7529296875
mlp,17,math,programming,47.18017578125
mlp,17,mmlu,mmlu,70.343017578125
mlp,17,mmlu,programming,59.844970703125
mlp,17,programming,programming,68.426513671875
mlp,18,empathetic_dialogue,empathetic_dialogue,48.1201171875
mlp,18,empathetic_dialogue,math,32.086181640625
mlp,18,empathetic_dialogue,mmlu,44.54345703125
mlp,18,empathetic_dialogue,programming,42.376708984375
mlp,18,math,math,50.74462890625
mlp,18,math,mmlu,46.1669921875
mlp,18,math,programming,45.4833984375
mlp,18,mmlu,mmlu,72.18017578125
mlp,18,mmlu,programming,59.454345703125
mlp,18,programming,programming,66.95556640625
mlp,19,empathetic_dialogue,empathetic_dialogue,47.75390625
mlp,19,empathetic_dialogue,math,33.258056640625
mlp,19,empathetic_dialogue,mmlu,44.23828125
mlp,19,empathetic_dialogue,programming,42.12646484375
mlp,19,math,math,52.532958984375
mlp,19,math,mmlu,48.358154296875
mlp,19,math,programming,46.9482421875
mlp,19,mmlu,mmlu,73.44970703125
mlp,19,mmlu,programming,60.1318359375
mlp,19,programming,programming,67.462158203125
mlp,20,empathetic_dialogue,empathetic_dialogue,45.34912109375
mlp,20,empathetic_dialogue,math,30.96923828125
mlp,20,empathetic_dialogue,mmlu,41.302490234375
mlp,20,empathetic_dialogue,programming,39.1357421875
mlp,20,math,math,48.651123046875
mlp,20,math,mmlu,44.5556640625
mlp,20,math,programming,43.023681640625
mlp,20,mmlu,mmlu,70.062255859375
mlp,20,mmlu,programming,55.438232421875
mlp,20,programming,programming,62.908935546875
mlp,21,empathetic_dialogue,empathetic_dialogue,41.522216796875
mlp,21,empathetic_dialogue,math,27.325439453125
mlp,21,empathetic_dialogue,mmlu,37.066650390625
mlp,21,empathetic_dialogue,programming,35.003662109375
mlp,21,math,math,44.34814453125
mlp,21,math,mmlu,40.167236328125
mlp,21,math,programming,38.275146484375
mlp,21,mmlu,mmlu,66.656494140625
mlp,21,mmlu,programming,50.323486328125
mlp,21,programming,programming,58.184814453125
mlp,22,empathetic_dialogue,empathetic_dialogue,37.811279296875
mlp,22,empathetic_dialogue,math,24.603271484375
mlp,22,empathetic_dialogue,mmlu,33.404541015625
mlp,22,empathetic_dialogue,programming,31.353759765625
mlp,22,math,math,41.40625
mlp,22,math,mmlu,37.1826171875
mlp,22,math,programming,35.009765625
mlp,22,mmlu,mmlu,63.8671875
mlp,22,mmlu,programming,46.563720703125
mlp,22,programming,programming,54.443359375
mlp,23,empathetic_dialogue,empathetic_dialogue,29.8583984375
mlp,23,empathetic_dialogue,math,16.912841796875
mlp,23,empathetic_dialogue,mmlu,24.725341796875
mlp,23,empathetic_dialogue,programming,22.705078125
mlp,23,math,math,28.369140625
mlp,23,math,mmlu,24.664306640625
mlp,23,math,programming,23.187255859375
mlp,23,mmlu,mmlu,48.187255859375
mlp,23,mmlu,programming,31.84814453125
mlp,23,programming,programming,39.31884765625
mlp,24,empathetic_dialogue,empathetic_dialogue,16.961669921875
mlp,24,empathetic_dialogue,math,6.8359375
mlp,24,empathetic_dialogue,mmlu,12.04833984375
mlp,24,empathetic_dialogue,programming,10.528564453125
mlp,24,math,math,13.5498046875
mlp,24,math,mmlu,10.809326171875
mlp,24,math,programming,10.211181640625
mlp,24,mmlu,mmlu,28.4423828125
mlp,24,mmlu,programming,15.399169921875
mlp,24,programming,programming,21.37451171875
mlp,25,empathetic_dialogue,empathetic_dialogue,21.56982421875
mlp,25,empathetic_dialogue,math,10.5224609375
mlp,25,empathetic_dialogue,mmlu,16.49169921875
mlp,25,empathetic_dialogue,programming,15.0634765625
mlp,25,math,math,17.29736328125
mlp,25,math,mmlu,14.337158203125
mlp,25,math,programming,13.818359375
mlp,25,mmlu,mmlu,32.330322265625
mlp,25,mmlu,programming,20.068359375
mlp,25,programming,programming,26.46484375
att,0,empathetic_dialogue,empathetic_dialogue,22.8759765625
att,0,empathetic_dialogue,math,15.2587890625
att,0,empathetic_dialogue,mmlu,20.513916015625
att,0,empathetic_dialogue,programming,20.05615234375
att,0,math,math,29.150390625
att,0,math,mmlu,23.638916015625
att,0,math,programming,24.5361328125
att,0,mmlu,mmlu,41.064453125
att,0,mmlu,programming,32.879638671875
att,0,programming,programming,41.717529296875
att,1,empathetic_dialogue,empathetic_dialogue,29.931640625
att,1,empathetic_dialogue,math,21.435546875
att,1,empathetic_dialogue,mmlu,27.6611328125
att,1,empathetic_dialogue,programming,27.1728515625
att,1,math,math,38.9404296875
att,1,math,mmlu,33.5205078125
att,1,math,programming,34.033203125
att,1,mmlu,mmlu,51.995849609375
att,1,mmlu,programming,43.438720703125
att,1,programming,programming,52.838134765625
att,2,empathetic_dialogue,empathetic_dialogue,36.42578125
att,2,empathetic_dialogue,math,27.923583984375
att,2,empathetic_dialogue,mmlu,34.429931640625
att,2,empathetic_dialogue,programming,34.08203125
att,2,math,math,44.036865234375
att,2,math,mmlu,39.2333984375
att,2,math,programming,39.68505859375
att,2,mmlu,mmlu,56.610107421875
att,2,mmlu,programming,49.25537109375
att,2,programming,programming,57.32421875
att,3,empathetic_dialogue,empathetic_dialogue,28.90625
att,3,empathetic_dialogue,math,21.673583984375
att,3,empathetic_dialogue,mmlu,26.910400390625
att,3,empathetic_dialogue,programming,26.593017578125
att,3,math,math,37.939453125
att,3,math,mmlu,32.33642578125
att,3,math,programming,32.4462890625
att,3,mmlu,mmlu,46.844482421875
att,3,mmlu,programming,39.34326171875
att,3,programming,programming,47.94921875
att,4,empathetic_dialogue,empathetic_dialogue,19.036865234375
att,4,empathetic_dialogue,math,13.262939453125
att,4,empathetic_dialogue,mmlu,17.803955078125
att,4,empathetic_dialogue,programming,17.51708984375
att,4,math,math,27.667236328125
att,4,math,mmlu,22.735595703125
att,4,math,programming,23.455810546875
att,4,mmlu,mmlu,35.760498046875
att,4,mmlu,programming,29.67529296875
att,4,programming,programming,37.9150390625
att,5,empathetic_dialogue,empathetic_dialogue,17.108154296875
att,5,empathetic_dialogue,math,9.918212890625
att,5,empathetic_dialogue,mmlu,14.24560546875
att,5,empathetic_dialogue,programming,14.794921875
att,5,math,math,21.54541015625
att,5,math,mmlu,17.218017578125
att,5,math,programming,18.3349609375
att,5,mmlu,mmlu,30.389404296875
att,5,mmlu,programming,24.0966796875
att,5,programming,programming,34.326171875
att,6,empathetic_dialogue,empathetic_dialogue,16.19873046875
att,6,empathetic_dialogue,math,11.273193359375
att,6,empathetic_dialogue,mmlu,14.7705078125
att,6,empathetic_dialogue,programming,14.959716796875
att,6,math,math,30.169677734375
att,6,math,mmlu,22.9248046875
att,6,math,programming,25.47607421875
att,6,mmlu,mmlu,35.7177734375
att,6,mmlu,programming,29.718017578125
att,6,programming,programming,41.12548828125
att,7,empathetic_dialogue,empathetic_dialogue,16.93115234375
att,7,empathetic_dialogue,math,9.466552734375
att,7,empathetic_dialogue,mmlu,14.178466796875
att,7,empathetic_dialogue,programming,13.214111328125
att,7,math,math,21.1181640625
att,7,math,mmlu,17.1142578125
att,7,math,programming,17.535400390625
att,7,mmlu,mmlu,33.001708984375
att,7,mmlu,programming,23.297119140625
att,7,programming,programming,31.6650390625
att,8,empathetic_dialogue,empathetic_dialogue,11.187744140625
att,8,empathetic_dialogue,math,4.60205078125
att,8,empathetic_dialogue,mmlu,8.09326171875
att,8,empathetic_dialogue,programming,6.524658203125
att,8,math,math,14.306640625
att,8,math,mmlu,10.05859375
att,8,math,programming,10.125732421875
att,8,mmlu,mmlu,23.773193359375
att,8,mmlu,programming,12.701416015625
att,8,programming,programming,19.189453125
att,9,empathetic_dialogue,empathetic_dialogue,5.62744140625
att,9,empathetic_dialogue,math,1.861572265625
att,9,empathetic_dialogue,mmlu,3.01513671875
att,9,empathetic_dialogue,programming,3.11279296875
att,9,math,math,8.7890625
att,9,math,mmlu,5.413818359375
att,9,math,programming,5.865478515625
att,9,mmlu,mmlu,14.532470703125
att,9,mmlu,programming,6.915283203125
att,9,programming,programming,13.214111328125
att,10,empathetic_dialogue,empathetic_dialogue,7.550048828125
att,10,empathetic_dialogue,math,2.789306640625
att,10,empathetic_dialogue,mmlu,5.26123046875
att,10,empathetic_dialogue,programming,5.04150390625
att,10,math,math,12.750244140625
att,10,math,mmlu,7.94677734375
att,10,math,programming,9.405517578125
att,10,mmlu,mmlu,18.585205078125
att,10,mmlu,programming,11.43798828125
att,10,programming,programming,20.001220703125
att,11,empathetic_dialogue,empathetic_dialogue,6.50634765625
att,11,empathetic_dialogue,math,2.24609375
att,11,empathetic_dialogue,mmlu,3.607177734375
att,11,empathetic_dialogue,programming,3.18603515625
att,11,math,math,11.090087890625
att,11,math,mmlu,6.73828125
att,11,math,programming,7.427978515625
att,11,mmlu,mmlu,17.529296875
att,11,mmlu,programming,8.09326171875
